X,Y,DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326794.4614,673934.384099999,restaurant,Café at the Palace,Class 3,Class 9,Class 3,Class 3,9 ABBEY STRAND,EH8 8DU,1
326798.6326,673897.5408,souvenirs,Queen's Gallery Shop, , ,Class 1,Class 1,9(GF) ABBEY STRAND,EH8 8DU,2
326818,674116,vacant,vacant, , ,UNKNOWN USE,Vacant,55 ABBEYHILL,EH8 8EA,3
328372.6636,674066.014799999,building consultants,Ardmore Home Care,Class 2,Class 4,Class 4,Class 4,4 ABERCORN ROAD,EH8 7DE,4
325554.6038,674408.7689,restaurant,Karens Unicorn, , ,Class 3,Class 3,8B ABERCROMBY PLACE,EH3 6LB,5
327065.6429,675875.6072,vacant,vacant,Vacant,Class 2,Vacant,Vacant,4 ACADEMY STREET,EH6 7EF,6
325604.971,674390.9144,public house,The Magnum,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 ALBANY STREET,EH1 3PY,7
325662.4572,674406.743100001,medals and engravers,Alex Kirkwood and Sons, , ,Class 1,Class 1,13(GF) ALBANY STREET,EH1 3PY,8
325596.783,674420.320800001,hairdresser,Charles Kivlin Hair Studio,Class 1,Class 1,Class 1,Class 1,2 ALBANY STREET,EH1 3QB,9
325600.3632,674421.5142,hairdresser,Charles Kilvin Hair studio,Class 2,Class 4,Class 4,Class 1,4 ALBANY STREET,EH1 3QB,10
326504.1046,675014.6623,vacant,vacant,Class 1,Class 1,Class 1,Vacant,1 ALBERT PLACE,EH7 5HN,11
326499.3377,675008.6754,hairdresser,Helen Dean,Class 1,Class 1,Class 1,Class 1,3 ALBERT PLACE,EH7 5HN,12
330493.3351,673833.8191,restaurant,Bonoful, , , ,Class 3,13-17 BRIGHTON PLACE,EH15 1LH,13
326053.7391,673032.400900001,books,Word Power, , , ,Class 1,"43-45 NICOLSON STREET, WE",EH8 9DB,14
326389.4614,672891.507300001,restaurant (Indian & Bangladeshi),Kismot, , , ,Class 3,29-35 ST. LEONARD'S STREE,EH8 9QN,15
323672.5625,668736.648800001,hot food take-away,Merdos, , , ,SUI GENERIS,11-12 OXGANGS BROADWAY,EH13 9LQ,16
329031.6338,671666.7239,hot food take away (Chinese),No. 1 Kitchen, , , ,SUI GENERIS,78 NIDDRIE MAINS ROAD,EH16 4BG,17
326496.9739,675005.3377,restaurant & hot food take-away,Haq,Vacant,Class 3,Class 3,Class 3,4 ALBERT PLACE,EH7 5HN,18
326488.2593,674992.1688,vacant,vacant,Vacant,Class 2,Class 2,Vacant,5 ALBERT PLACE,EH7 5HN,19
326493.3246,674999.260399999,grocer,Star Premier,Class 1,Class 1,Class 1,Class 1,7-8 ALBERT PLACE,EH7 5HN,20
326485.1558,674987.8442,sandwich bar,Sandwich Express,Vacant,Class 1,Class 3,Class 1,9 ALBERT PLACE,EH7 5HN,21
326482.6623,674984.8181,grocer,Polish mini market,Class 1,Class 1,Class 1,Class 1,10 ALBERT PLACE,EH7 5HN,22
326480.0,674981.0131,hot food take-away,Silver Bowl,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ALBERT PLACE,EH7 5HN,23
326477.1296,674977.2985,travel agent,Airlink Travel (Scotland) Ltd.,Class 1,Class 1,Class 1,Class 1,13 ALBERT PLACE,EH7 5HN,24
326473.1427,674971.883400001,restaurant,The Tail End, , ,Class 3,Class 3,14-15 ALBERT PLACE,EH7 5HN,25
