X,Y,DESCRIP96,BUSINESS96,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326794.4614,673934.384099999,residential, ,Class 3,Class 9,Class 3,Class 3,9 ABBEY STRAND,EH8 8DU,1
327067.4706,674402.0065,hairdresser,L & G Hair,Class 1,Class 1, , , , ,2
326939.8169,674274.0781,demolished, ,Vacant,Demolished, , , , ,3
328372.6636,674066.014799999,building consultants,Foundations,Class 2,Class 4,Class 4,Class 4,4 ABERCORN ROAD,EH8 7DE,4
325432,674403,restaurant,Premier Mandarin Cuisine,Class 3,Class 3, , , , ,5
327065.6429,675875.6072,furniture removal office,Holyrood Removals,Vacant,Class 2,Vacant,Vacant,4 ACADEMY STREET,EH6 7EF,6
327068.7502,675878.964600001,vacant, ,Vacant,Vacant, , , , ,7
326540.7538,676593.450300001,residential, ,Vacant,Class 9,Class 9, , , ,8
326545.0261,676599.0733,residential, ,Vacant,Class 9,Class 9, , , ,9
326547.9528,676602.6754,residential, ,Vacant,Class 9,Class 9, , , ,10
325604.971,674390.9144,public house,The Magnum,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 ALBANY STREET,EH1 3PY,11
325596.783,674420.320800001,hairdresser,Charles Kivlin,Class 1,Class 1,Class 1,Class 1,2 ALBANY STREET,EH1 3QB,12
325600.3632,674421.5142,computer training,STS Group,Class 2,Class 4,Class 4,Class 1,4 ALBANY STREET,EH1 3QB,13
326504.1046,675014.6623,videotape hire,Azad,Class 1,Class 1,Class 1,Vacant,1 ALBERT PLACE,EH7 5HN,14
326499.3377,675008.6754,second-hand furniture,Leith Discount Centre,Class 1,Class 1,Class 1,Class 1,3 ALBERT PLACE,EH7 5HN,15
326496.9739,675005.3377,restaurant & hot food take-away,Naz Tandoori,Vacant,Class 3,Class 3,Class 3,4 ALBERT PLACE,EH7 5HN,16
326488.2593,674992.1688,betting shop,William Hill,Vacant,Class 2,Class 2,Vacant,5 ALBERT PLACE,EH7 5HN,17
326493.3246,674999.260399999,haberdashery,First Choice Fabrics,Class 1,Class 1,Class 1,Class 1,7-8 ALBERT PLACE,EH7 5HN,18
326485.1558,674987.8442,computer games,Game Masters,Vacant,Class 1,Class 3,Class 1,9 ALBERT PLACE,EH7 5HN,19
326482.6623,674984.8181,post office,Post Office,Class 1,Class 1,Class 1,Class 1,10 ALBERT PLACE,EH7 5HN,20
326480.0,674981.0131,hot food take-away,Golden Star,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ALBERT PLACE,EH7 5HN,21
326477.1296,674977.2985,travel agent,Airlink Travel (Scotland) Ltd.,Class 1,Class 1,Class 1,Class 1,13 ALBERT PLACE,EH7 5HN,22
326470.2723,674968.0,restaurant,Sorrento,Class 3,Class 3, , , , ,23
326466.8954,674963.103499999,public house,The Old Salt,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 ALBERT PLACE,EH7 5HN,24
326459.9869,674956.3638,jeweller,Leith Jewellers,Class 1,Class 1,SUI GENERIS,Class 4,20 ALBERT PLACE,EH7 5HN,25
326457.9608,674953.4935,second-hand goods (recr. / elec. etc.),Boston's,Class 1,Class 1,Class 1,Class 1,21-22 ALBERT PLACE,EH7 5HN,26
326455.5436,674950.1666,public house,The Red Lion,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 1,25 ALBERT PLACE,EH7 5HN,27
326452.8954,674946.570800001,n/t/c,A.C. Henderson,Class 1,Class 1,Class 1,Vacant,26 ALBERT PLACE,EH7 5HN,28
326450.5316,674943.3627,hairdresser,Bella,Class 1,Class 1,Class 1,Class 1,27 ALBERT PLACE,EH7 5HN,29
326447.9989,674939.817,hairdresser,The Cutting Room,Class 1,Class 1,Class 1,Class 1,28 ALBERT PLACE,EH7 5HN,30
326443.1024,674933.738500001,vacant, ,Class 4,Vacant, , , , ,31
326516.7658,675014.416099999,hot food take-away (Indian),Tandoori Takeaway & Restaurant,Class 3,SUI GENERIS,Class 3,Class 3,3A ALBERT STREET,EH7 5HL,32
326577.7401,675008.803200001,wine merchant,Fairbairns,Class 1,Class 1, , , , ,33
326635.6299,675006.1732,catering contractors,T. Dalgleish & Co.,Class 2,Class 4,Vacant,Class 4,21 ALBERT STREET,EH7 5LH,34
326656.0,675005.2599,vacant, ,Class 2,Vacant,Vacant,Class 1,33 ALBERT STREET,EH7 5LH,35
