X,Y,DESCRIP86,BUSINESS86,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
323507.1486,672437.788000001,chemist, ,Class 1,Class 1,Class 1,Class 1,3 ARDMILLAN TER,EH11 2JN,50
323492.7987,672294.433,blinds, ,Class 1,Vacant, , , , ,51
323492.6706,672290.7195,jeweller/watches, ,Class 1,Vacant, , , , ,52
323492.5426,672287.2621,sweep/slater, ,Class 4,Vacant, , , , ,53
323492.2865,672283.420499999,nearly new clothes & furniture, ,Class 1,Vacant,Class 4,Class 4,24 ARDMILLAN TE,EH11 2JW,54
323492.1584,672279.322799999,building society, ,Class 2,Class 1,Class 1,Class 1,25 ARDMILLAN TE,EH11 2JW,55
325660.262,672359.632200001,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,15-17 ARGYLE PL,EH9 1JJ,56
325660.7356,672340.002499999,engineer, ,Class 4,Class 1,Class 1,Class 1,18 ARGYLE PLACE,EH9 1JJ,57
325660.262,672347.105799999,grocer (lic), ,Class 1,Class 1,Class 1,Vacant,20 ARGYLE PLACE,EH9 1JJ,58
325660.7356,672352.7884,restaurant, ,Class 3,Class 3,Class 3,Class 3,21 ARGYLE PLACE,EH9 1JJ,59
325660.262,672364.0529,antiques, ,Class 1,Class 1,Class 1,Vacant,22 ARGYLE PLACE,EH9 1JJ,60
325660.262,672368.3149,greengrocer, ,Class 1,Class 1,Class 1,Class 1,23 ARGYLE PLACE,EH9 1JJ,61
325660.262,672371.629799999,greengrocer, ,Class 1,Class 1,Class 1, , , ,62
325660.262,672374.944700001,hairdresser, ,Class 1,Vacant,Vacant, , , ,63
325660.3149,672383.579299999,n/t/c, ,Class 1,Class 1,Vacant, , , ,64
325660.3149,672389.7356,vacant, ,Vacant,Class 1,Class 1,Class 1,30 ARGYLE PLACE,EH9 1JJ,65
325659.3149,672417.1587,wholesale haberdashery, ,Class 2,Class 2,Class 2,Class 4,31 ARGYLE PLACE,EH9 1JT,66
325658.8942,672441.579299999,window cleaner, ,Class 4,Class 1,Class 2,Class 4,38 ARGYLE PLACE,EH9 1JT,67
325658.8942,672447.262,bookbinder, ,Class 4,Class 1,Class 1,Class 3,39 ARGYLE PLACE,EH9 1JT,68
325658.8413,672456.2644,beauty parlour, ,Class 1,Class 1,Class 11,Class 11,40 ARGYLE PLACE,EH9 1JT,69
325658.8413,672462.420700001,hairdresser, ,Class 1,Class 1,Class 11,Class 2,41 ARGYLE PLACE,EH9 1JT,70
325658.3678,672469.0504,business computer services, ,Class 4,Class 4,Class 2,Class 4,43(BF) ARGYLE P,EH9 1JT,71
323354.1444,671717.0359,n/t/c /grocer, ,Class 1,Class 1, , , , ,72
323351.2704,671720.432399999,solicitor + estate agent, ,Class 2,Class 2,Class 2,Class 4, , ,73
323348.3965,671723.567600001,plumber, ,Class 4,Class 4, , , , ,74
323345.5225,671726.4416,hairdresser, ,Class 1,Class 1, , , , ,75
323342.6486,671729.054199999,vacant, ,Vacant,Class 4,Class 1,Class 1,1E ASHLEY TERRA,EH11 1RF,76
323259.7028,671820.054199999,n/t/c /grocer, ,Class 1,Class 1,Class 1,Class 1,29-30 ASHLEY TE,EH11 1RE,77
323256.3514,671823.4866,soft furnishings, ,Class 1,Class 1,Class 1,Class 1,32 ASHLEY TERRA,EH11 1RE,78
323253.4775,671826.3606,butcher, ,Class 1,Vacant,Class 2,Class 4,33 ASHLEY TERRA,EH11 1RE,79
323249.793,671830.8289,off licence, ,Class 1,Class 4,Class 1,Class 1,34 ASHLEY TERRA,EH11 1RE,80
323247.1803,671833.9641,greeting cards, ,Class 1,Class 1,Class 1,Class 2,36 ASHLEY TERRA,EH11 1RE,81
323258.9908,671855.2162,chemist, ,Class 1,Class 1,Class 1,Class 1,37 ASHLEY TERRA,EH11 1RY,82
323261.8648,671852.081,hardware, ,Class 1,Class 1,Class 4,Class 1,39 ASHLEY TERRA,EH11 1RY,83
323264.4775,671848.945800001,grocer, ,Class 1,Vacant,Class 4,Vacant,40 ASHLEY TERRA,EH11 1RY,84
323268.9458,671844.522500001,sweets + tobacco, ,Class 1,Class 1,Class 4,Class 2,41 ASHLEY TERRA,EH11 1RY,85
323271.0359,671841.3873,hairdresser, ,Class 1,Class 2,Class 1,Class 1,42 ASHLEY TERRA,EH11 1RY,86
323273.9099,671837.990800001,audio repairs, ,Class 1,Class 1,Vacant,Class 1,44 ASHLEY TERRA,EH11 1RY,87
323276.5225,671835.116900001,grocer, ,Class 1,Class 1,Class 1,Class 1,45 ASHLEY TERRA,EH11 1RY,88
323280.5584,671831.396500001,butcher, ,Class 1,Class 1, , , , ,89
323286.0451,671825.1261,shoe repairs, ,Class 1,Class 1, , , , ,90
323289.1803,671821.729599999,dry cleaners/gifts, ,Class 1,Vacant, , , , ,91
323307.9458,671805.081,fishmonger, ,Class 1,Vacant, , , , ,92
327339.9492,676406.426100001,public house, ,SUI GENERIS,SUI GENERIS,Class 3,Class 3,43 ASSEMBLY STR,EH6 7BQ,93
324313.1759,673394.9186,restaurant, ,Class 3,Class 3,Class 3,Class 3,3 ATHOLL PLACE,EH3 8HP,94
324284.0945,673372.9186,hairdresser,Atholl Hair Specialists,Class 1,Class 4, ,Class 4,6-7 ATHOLL PLAC,EH3 8HP,95
324262.7297,673357.5799,hairdresser, ,Class 1,Class 4,Class 4,Vacant, , ,96
324258.7166,673348.824100001,printing office, ,Class 4,Class 4,Class 2,Vacant,13 ATHOLL PLACE,EH3 8HP,97
327058,668605,grocer, ,Class 1,Class 1, , , , ,98
313928.5443,670872.7599,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,27 BAIRD ROAD,EH28 8RU,99
324691.6997,674505.056700001,charity shop, ,Class 1,Demolished, , , , ,100
324689.3499,674507.4066,accommodation agency, ,Class 4,Demolished, , , , ,101
324686.8322,674509.5886,launderette, ,Class 1,Demolished, , , , ,102
324684.818,674511.602700001,wool, ,Class 1,Class 1,Class 1,Class 1,6 BAKER'S PLACE,EH3 6SY,103
324682.8038,674513.449100001,baker, ,Class 1,Class 1,Class 1,Vacant,7 BAKER'S PLACE,EH3 6SY,104
324680.6218,674515.463199999,antique furniture, ,Class 1,Class 1,Class 3,Class 3,8-10 BAKER'S PL,EH3 6SY,105
324346.5954,670946.3005,office, ,Class 4,Class 2,Class 2,Class 2,8 BALCARRES STR,EH10 5JB,106
324341.4452,670948.1733,vacant, ,Vacant,Class 2, , , , ,107
324248,670951,car showroom, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,21-22 BALCARRES,EH10 5JD,108
323959.9364,670866.2544,wholefood catering office, ,Class 4,Vacant, , , , ,109
326664.7146,675370.234200001,hairdresser, ,Class 1,Class 1,Class 1,Class 11,3 BALFOUR STREE,EH6 5BY,110
326661.0915,675374.5196,betting shop, ,Class 2,Vacant, , , , ,111
326658.5588,675377.558800001,vacant, ,Vacant,Vacant, , , , ,112
326656.3638,675380.597999999,hot food take-away, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7C BALFOUR STRE,EH6 5BY,113
326645.7146,675395.3508,launderette & dry cleaner, ,Class 1,Class 1,Vacant,Vacant, , ,114
326643.3508,675399.065400001,vacant, ,Vacant,Vacant, , , , ,115
326641.1558,675402.948799999,office, ,Class 4,Class 9, , , , ,116
326593.7069,675468.823799999,licensed grocer, ,Class 1,Class 1,Class 1,Class 1,29 BALFOUR STRE,EH6 5DQ,117
326530.7663,675554.588099999,office, ,Class 4,Vacant, , , , ,118
326678.4975,675400.6231,hairdresser, ,Class 1,Class 9, , , , ,119
326571.598,675036.752699999,butcher, ,Class 1,Class 1,Class 1,Class 1,26 ALBERT STREE,EH7 5LG,120
326581,675042,hairdresser, ,Class 1,Class 4,Vacant,Class 4,28 ALBERT STREE,EH7 5LG,121
326581,675042,hot food take-away, ,SUI GENERIS,SUI GENERIS, , , , ,122
326581,675042,scrap metal, ,Class 2,Class 2,Class 4,Class 4,34 ALBERT STREE,EH7 5LG,123
326860.6535,675020.023600001,stonemason, ,Class 4,Class 4,Class 4,Class 4,144 ALBERT STRE,EH7 5LT,124
326870.4331,675019.4803,community development office,Pilmeny Development Project,Class 4,Vacant,Class 2,Vacant,152 ALBERT STRE,EH7 5LT,125
326882.882,675018.937000001,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant, , ,126
326912.5669,675016.937000001,n/t/c, ,Class 1,Class 1,Class 1,Class 1,160 ALBERT STRE,EH7 5NA,127
326918.5433,675016.937000001,vacant, ,Vacant,Vacant,Class 9, , , ,128
326961.2835,675014.6535,vacant, ,Vacant,Vacant, , , , ,129
326969.4331,675014.110200001,caravan spares & accessories, ,Class 1,Class 1,Class 4,Class 4,176 ALBERT STRE,EH7 5NA,130
326978.5433,675013.5669,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,180 ALBERT STRE,EH7 5NA,131
327007.7401,674929.196799999,building design office, ,Class 4,Class 9, , , , ,132
