X,Y,OBJECTID,DESCRIP15,BUSINESS15,USECLASS15,CVR15_POST,EASTING,NORTHING,ADDRESS
326710,673910,797,professional sound & lighting sysytems,Pegasus Sound & Light,Class 4,EH8 8BX,326710,673910,23-25 CANONGATE
326696,673903,798,vacant,vacant,Vacant,EH8 8BS,326696,673903,29 CANONGATE
326598,673865,799,public house,Kilderkin,SUI GENERIS,EH8 8BS,326598,673865,67 CANONGATE
326584,673859,800,caf‚ & tea room,Clarinda's Tea Room,Class 3,EH8 8BS,326584,673859,69 CANONGATE
326553,673845,801,gifts & souvenirs,The Genuine Article,Class 1,EH8 8BP,326553,673845,97 CANONGATE
326535,673838,802,grocer,Canongate Stores,Class 1,EH8 8BP,326535,673838,101 CANONGATE
326515,673825,803,gifts & souvenirs,I Love Edinburgh,Class 1,EH8 8BP,326515,673825,125 CANONGATE
326503,673820,804,gifts & souvenirs,Neanie Scott,Class 1,EH8 8BP,326503,673820,131 CANONGATE
326498,673818,805,scottish cothing,The Royal Mile Factory Outlet,Class 1,EH8 8BP,326498,673818,133-135 CANONGATE
326483,673814,806,Christmas decorations,Ye Olde Christmas Shoppe,Class 1,EH8 8BN,326483,673814,143-145 CANONGATE
326405,673785,807,public house,Tolbooth Tavern,SUI GENERIS,EH8 8BN,326405,673785,167 CANONGATE
326395,673784,808,"jewellery, gifts",Hamilton and Young,Class 1,EH8 8BN,326395,673784,173 CANONGATE
326387,673781,809,"jewellery, gifts",Hamilton and Young,Class 1,EH8 8BN,326387,673781,175 CANONGATE
326374,673775,810,vacant,vacant,Vacant,EH8 8BN,326374,673775,181-183 CANONGATE
326361,673766,811,souveniers,Prestige Scotland,Class 1,EH8 8BN,326361,673766,187 CANONGATE
326351,673763,812,kilts,Nicolson Highlandwear,Class 1,EH8 8BN,326351,673763,189 CANONGATE
326342,673760,813,vacant,vacant,Vacant,EH8 8BN,326342,673760,193 CANONGATE
326333,673758,814,"coffee shop, confectionery",Fudge House of Edinburgh,Class 3,EH8 8BN,326333,673758,197 CANONGATE
326243,673733,815,caf‚ (turkish),Caf‚ Truva,Class 3,EH8 8BQ,326243,673733,251-253 CANONGATE
326217,673725,816,coffee shop,Has Beans Coffee House,Class 3,EH8 8BQ,326217,673725,261 CANONGATE
326208,673723,817,scottish foods / gifts,Cranachan & Crowdie,Class 1,EH8 8BQ,326208,673723,263 CANONGATE
326201,673722,818,restaurant,Wedgewood,Class 3,EH8 8BQ,326201,673722,267 CANONGATE
326163,673716,819,gifts,Wonders of Nature,Class 1,EH8 8BD,326163,673716,297 CANONGATE
326157,673714,820,grocer,The Scottish Grocer,Class 1,EH8 8BD,326157,673714,299 CANONGATE
326607,673846,821,hot food take away (pulled pork),Pink,SUI GENERIS,EH8 8BZ,326607,673846,82 CANONGATE
326537,673813,822,cashmere clothing,Holyrood Cashmere,Class 1,EH8 8DD,326537,673813,98 CANONGATE
326520,673806,823,record store,Unknown Pleasures,Class 1,EH8 8DD,326520,673806,110 CANONGATE
326513,673804,824,gifts,The Best Fae Scotland,Class 1,EH8 8DD,326513,673804,112 CANONGATE
326499,673799,825,caf‚,Starbucks,Class 3,EH8 8DD,326499,673799,116-118 CANONGATE
326463,673784,826,caf‚,Cafe Vivo,Class 3,EH8 8DD,326463,673784,136 CANONGATE
326419,673766,827,"gifts, curios, jewellery",The Wyrd Shop,Class 1,EH8 8DD,326419,673766,154 CANONGATE
326419,673766,828,jewellery,Celtic Design,Class 1,EH8 8DD,326419,673766,156 CANONGATE
326419,673766,829,caf‚,Sugarhouse Sandwich,Class 3,EH8 8DD,326419,673766,158 CANONGATE
326409,673763,830,hot food take-away,Bene's Fish & Chips,SUI GENERIS,EH8 8DD,326409,673763,162 CANONGATE
326409,673763,831,souvenirs,Cannongate Jerseys and Crafts,Class 1,EH8 8DD,326409,673763,164 CANONGATE
326409,673763,832,souvenirs,Cannongate Jerseys and Crafts,Class 1,EH8 8DD,326409,673763,166 CANONGATE
326396,673754,833,"gifts, souvenirs",Simply Scottish,Class 1,EH8 8DF,326396,673754,168 CANONGATE
326396,673754,834,specialist whiskies,Cadenhead's Whisky Shop,Class 1,EH8 8DF,326396,673754,172 CANONGATE
326282,673721,835,scottish gifts,Mama Said,Class 3,EH8 8DQ,326282,673721,204 CANONGATE
